,submission_date,state,tot_cases,new_case,tot_death,new_death,created_at
25986,02/28/2020,HI,0,0,0,0,03/26/2020 04:22:39 PM
25987,03/14/2021,TX,2718383,2628,47705,64,03/16/2021 12:00:00 AM
25988,01/21/2021,NYC,561787,6477,26377,86,01/19/2021 12:00:00 AM
25989,06/11/2021,KS,315769,135,5106,3,06/12/2021 02:13:34 PM
25990,07/20/2020,MA,107056,174,8460,9,07/22/2020 12:00:00 AM
25991,05/10/2021,OK,450886,107,7278,2,05/11/2021 12:00:00 AM
25992,07/29/2020,KS,26870,698,349,14,07/30/2020 02:42:43 PM
25993,02/29/2020,AK,0,0,0,0,03/26/2020 04:22:39 PM
25994,04/27/2020,GA,23268,774,944,32,05/25/2020 11:38:40 AM
25995,04/28/2020,CO,14238,440,736,30,04/29/2020 06:12:08 PM
25996,03/23/2020,TX,287,24,14,2,03/25/2020 12:00:00 AM
25997,04/06/2021,PR,110233,211,2139,8,04/07/2021 02:25:43 PM
25998,05/30/2020,CO,26098,485,1443,7,05/31/2020 02:43:17 PM
25999,09/27/2020,MP,70,0,2,0,09/28/2020 01:50:59 PM
26000,06/30/2021,PW,2,0,0,0,07/01/2021 02:29:33 PM
26001,12/03/2020,KS,162061,0,1679,0,12/04/2020 03:00:59 PM
26002,01/28/2021,MA,514134,4631,14645,83,01/30/2021 12:00:00 AM
26003,01/25/2020,CO,0,0,0,0,03/26/2020 04:22:39 PM
26004,06/22/2020,AR,16083,522,227,2,06/23/2020 02:28:19 PM
26005,02/23/2021,AS,4,0,0,0,02/24/2021 02:56:12 PM
26006,02/25/2020,FL,0,0,0,0,03/26/2020 04:22:39 PM
26007,09/04/2020,AS,0,0,0,0,09/05/2020 02:09:45 PM
26008,07/01/2020,AS,0,0,0,0,07/02/2020 03:10:03 PM
26009,05/21/2020,AK,404,0,11,0,05/21/2020 12:00:00 AM
26010,07/02/2020,KS,14990,0,272,0,07/03/2020 03:01:33 PM
26011,01/08/2021,WV,97898,1896,1554,36,01/09/2021 03:26:08 PM
26012,02/28/2020,PR,0,0,0,0,03/26/2020 04:22:39 PM
26013,03/14/2021,FL,1940380,3592,32255,30,03/15/2021 02:03:45 PM
26014,10/26/2020,TX,867075,4700,18849,114,10/28/2020 12:00:00 AM
26015,06/30/2020,AK,944,36,17,0,06/30/2020 12:00:00 AM
26016,09/24/2020,GA,327158,1608,6822,49,09/25/2020 09:54:10 AM
26017,02/20/2021,WV,129364,309,2254,6,02/21/2021 02:57:50 PM
26018,06/20/2021,MP,183,0,2,0,06/21/2021 04:43:32 PM
26019,11/23/2020,MP,104,0,2,0,11/24/2020 03:27:55 PM
26020,04/21/2021,AS,0,0,0,0,04/22/2021 01:56:30 PM
26021,04/16/2021,WV,148071,475,2777,5,04/17/2021 01:58:33 PM
26022,01/27/2020,HI,0,0,0,0,03/26/2020 04:22:39 PM
26023,02/23/2021,AR,316593,834,5377,14,02/24/2021 02:56:12 PM
26024,05/12/2021,GA,1112297,921,20432,41,05/13/2021 02:28:07 PM
26025,05/26/2020,WV,1854,72,74,1,05/27/2020 03:37:59 PM
26026,01/02/2021,PW,0,0,0,0,01/03/2021 02:53:25 PM
26027,01/01/2021,TX,1772483,16311,31546,276,01/03/2021 12:00:00 AM
26028,02/15/2021,CO,414369,533,5826,2,02/16/2021 02:53:06 PM
26029,06/13/2020,KS,11047,0,243,0,06/14/2020 02:19:43 PM
26030,03/01/2021,UT,371492,257,1940,5,03/02/2021 02:54:47 PM
26031,11/07/2020,CO,127967,3498,2389,13,11/08/2020 02:40:34 PM
26032,09/28/2020,PR,48467,1045,654,6,09/29/2020 01:50:42 PM
26033,05/03/2020,FL,35969,506,1399,35,05/04/2020 10:49:24 PM
26034,11/02/2020,PW,0,0,0,0,11/03/2020 02:57:05 PM
26035,03/31/2021,UT,385641,514,2122,4,04/01/2021 02:13:30 PM
26036,05/27/2021,CO,540924,832,6545,14,05/28/2021 01:29:21 PM
26037,03/25/2021,PW,0,0,0,0,03/26/2021 02:14:54 PM
26038,10/28/2020,AR,108640,961,1875,18,10/29/2020 02:11:33 PM
26039,06/18/2021,PR,139638,56,2539,0,06/18/2021 01:48:26 PM
26040,07/14/2020,UT,31196,474,226,6,07/15/2020 03:05:12 PM
26041,08/25/2020,MA,116770,349,8983,17,08/27/2020 12:00:00 AM
26042,03/13/2021,FL,1936788,5175,32225,80,03/14/2021 01:53:25 PM
26043,10/29/2020,WV,23466,402,443,7,10/30/2020 01:37:23 PM
26044,04/04/2020,FL,11173,1248,195,25,04/03/2020 04:22:39 PM
26045,06/27/2020,OK,17367,585,431,3,06/28/2020 12:00:00 AM
26046,08/28/2020,HI,8113,310,59,4,08/29/2020 09:42:50 AM
26047,05/17/2021,KS,312073,124,5040,2,05/18/2021 02:26:44 PM
26048,09/17/2020,TX,678819,4047,16099,58,09/19/2020 12:00:00 AM
26049,08/09/2020,MP,48,0,2,0,08/10/2020 02:23:35 PM
26050,05/16/2021,PW,0,0,0,0,05/17/2021 02:13:39 PM
26051,06/11/2020,HI,694,15,17,0,06/12/2020 10:17:59 AM
26052,06/15/2020,OK,11039,272,400,2,06/16/2020 12:00:00 AM
26053,02/09/2021,UT,356040,918,1748,10,02/10/2021 02:52:16 PM
26054,09/14/2020,CO,61699,375,1990,2,09/15/2020 02:03:59 PM
26055,02/27/2020,UT,0,0,0,0,03/26/2020 04:22:39 PM
26056,12/15/2020,MP,113,0,2,0,12/16/2020 02:28:57 PM
26057,09/17/2020,GA,315618,2083,6474,55,09/18/2020 09:48:37 AM
26058,04/23/2020,MA,46023,3079,2991,195,05/12/2021 01:46:26 PM
26059,01/10/2021,MP,125,0,2,0,01/11/2021 03:01:02 PM
26060,01/31/2021,AK,52762,126,308,0,01/31/2021 12:00:00 AM
26061,02/10/2020,PW,0,0,0,0,03/26/2020 04:22:39 PM
26062,09/05/2020,NYC,238175,302,23427,6,09/03/2020 12:00:00 AM
26063,03/06/2020,MA,7,5,0,0,03/26/2020 04:22:39 PM
26064,06/11/2021,NYC,952361,151,33328,0,06/12/2021 02:13:34 PM
26065,05/24/2020,UT,8500,169,98,1,05/25/2020 02:12:49 PM
26066,06/08/2020,UT,12429,312,126,5,06/09/2020 04:49:08 PM
26067,03/20/2020,OK,730,69,3,2,03/21/2020 12:00:00 AM
26068,05/30/2021,PW,0,0,0,0,05/31/2021 01:43:43 PM
26069,02/25/2020,PR,0,0,0,0,03/26/2020 04:22:39 PM
26070,09/06/2020,UT,55347,341,421,1,09/07/2020 01:37:36 PM
26071,02/23/2020,TX,0,0,0,0,03/26/2020 04:22:39 PM
26072,01/18/2021,HI,23840,115,319,0,01/19/2021 02:37:00 PM
26073,06/07/2020,PW,0,0,0,0,06/08/2020 02:55:08 PM
26074,09/15/2020,MP,61,0,2,0,09/16/2020 01:53:41 PM
26075,01/15/2021,AS,3,0,0,0,01/16/2021 02:46:10 PM
26076,10/04/2020,MP,75,2,2,0,10/05/2020 01:49:47 PM
26077,03/20/2021,GA,1044134,1717,18530,66,03/21/2021 01:54:01 PM
26078,05/21/2020,OK,6515,86,328,2,05/22/2020 12:00:00 AM
26079,04/30/2021,HI,32694,114,480,0,05/01/2021 01:43:22 PM
26080,06/17/2020,PW,0,0,0,0,06/18/2020 05:16:14 PM
26081,04/01/2021,PW,0,0,0,0,04/02/2021 01:56:15 PM
26082,04/07/2020,TX,8261,988,264,16,04/09/2020 12:00:00 AM
26083,05/02/2020,FL,35463,735,1364,50,05/03/2020 03:36:03 PM
26084,08/13/2020,PR,25128,682,317,11,08/14/2020 02:30:03 PM
26085,11/16/2020,NYC,291221,1454,23862,11,11/14/2020 12:00:00 AM
26086,09/30/2020,HI,12480,107,136,2,10/01/2020 09:42:11 AM
26087,05/04/2020,GA,27594,753,1211,33,05/05/2020 01:25:08 PM
26088,06/21/2020,NYC,215135,385,22797,15,06/19/2020 12:00:00 AM
26089,05/11/2021,WV,156875,258,2734,5,05/12/2021 02:33:56 PM
26090,10/28/2020,NYC,265267,913,23687,5,10/26/2020 12:00:00 AM
26091,05/30/2020,HI,644,0,17,0,05/30/2020 12:00:00 AM
26092,02/14/2020,AK,0,0,0,0,03/26/2020 04:22:39 PM
26093,02/05/2020,WV,0,0,0,0,03/26/2020 04:22:39 PM
26094,02/13/2020,AR,0,0,0,0,03/26/2020 04:22:39 PM
26095,05/05/2021,MP,168,0,2,0,05/06/2021 02:14:04 PM
26096,05/21/2021,WV,159735,285,2772,3,05/22/2021 06:59:37 PM
26097,04/22/2020,AK,335,6,9,0,04/22/2020 12:00:00 AM
26098,07/09/2020,OK,26233,1016,476,5,07/10/2020 12:00:00 AM
26099,05/24/2020,WV,1771,42,72,0,05/25/2020 02:12:49 PM
